"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Chile","CHL","Population in largest city","EN.URB.LCTY","1979927","2047034","2106056","2166780","2229343","2293532","2359661","2427698","2497794","2569712","2646661","2738346","2833339","2931353","3032899","3137963","3246819","3359136","3475502","3595899","3720640","3849349","3970906","4046324","4123282","4201485","4281283","4362596","4445568","4529884","4615919","4703587","4794775","4894926","4997312","5101840","5208702","5317500","5428725","5542276","5658363","5776553","5883580","5930470","5977798","6025373","6073393","6121796","6170651","6219761","6269330","6319294","6369726","6420420","6471588","6523164","6575151","6627552","6680371","6723516","6767223","6811595","6856939","6903392",
"China","CHN","Population in largest city","EN.URB.LCTY","6865312","6752117","6640636","6530995","6423017","6428131","6387638","6302144","6217680","6134575","6052468","5971461","5891428","5812684","5734886","5658129","5582296","5507683","5558902","5740309","5927898","6121076","6320829","6569409","6828127","7096280","7375356","7665406","7967288","8280178","8605812","9050404","9518933","10010327","10527819","11072063","11645251","12246411","12879499","13545316","14246541","14829537","15357256","15903755","16470495","17055788","17662731","18291272","18943092","19616251","20314309","20947904","21555451","22178874","22821226","23482181","24163230","24862075","25582138","26317104","27058479","27795702","28516903","29210808",
"Cote d'Ivoire","CIV","Population in largest city","EN.URB.LCTY","191849","208607","226856","246700","276555","309925","347377","389354","436472","489139","548246","614497","688861","771982","865269","966025","1058136","1158740","1269067","1325017","1383516","1444425","1508106","1574595","1644112","1716495","1792171","1871183","1950508","2024809","2102049","2182236","2265598","2351902","2441619","2534759","2631588","2731834","2836045","2926232","3007498","3090788","3176505","3264599","3355262","3448183","3543811","3642091","3743238","3846904","3953590","4063235","4176077","4291730","4410752","4533075","4658790","4787992","4920776","5058550","5202762","5354826","5515790","5686350",
"Cameroon","CMR","Population in largest city","EN.URB.LCTY","152612","161214","170313","179927","190097","204834","220736","237873","256366","276241","297687","320797","345738","372541","401463","432630","463848","488495","514489","541866","570741","601068","633052","666739","702267","739584","778939","819198","857837","898184","940489","984786","1031235","1079737","1130593","1183844","1239682","1297989","1359124","1423139","1490263","1560356","1633849","1710803","1791496","1875756","1964104","2056613","2153480","2254908","2361114","2482205","2623348","2772516","2930167","3096782","3272870","3458972","3655656","3822425","3992411","4164167","4336670","4509287",
"Congo, Dem. Rep.","COD","Population in largest city","EN.URB.LCTY","442853","487604","536949","591287","651211","717018","789579","869484","939065","1002218","1069714","1141756","1218759","1300722","1388321","1481820","1581758","1688133","1801823","1923171","2052874","2190932","2338484","2495974","2664309","2811896","2967879","3132515","3306530","3489692","3683274","3887595","4103555","4330868","4571112","4824684","5092700","5374806","5641396","5885450","6140419","6405687","6682804","6971910","7273947","7589069","7917842","8260859","8618736","8992117","9381673","9788106","10212146","10654556","11116133","11597706","12100142","12624344","13171256","13743278","14342439","14970460","15628085","16315534",
"Congo, Rep.","COG","Population in largest city","EN.URB.LCTY","123643","131867","140751","150341","160599","171525","183212","195695","209047","223270","238483","254732","272112","290626","309803","329225","349895","371800","395110","419881","446242","474179","503907","535499","569120","596061","616150","636916","658412","680572","703509","727220","751764","777065","803255","830327","858950","896962","936712","978223","1021635","1066846","1114124","1163498","1215132","1268906","1325139","1383864","1445191","1509237","1576120","1645968","1718911","1795086","1874637","1957714","2044472","2135075","2229693","2308076","2388090","2469630","2552813","2637733",
"Colombia","COL","Population in largest city","EN.URB.LCTY","1268645","1360418","1458970","1564662","1678171","1779758","1886814","2000310","2120803","2248192","2383425","2526793","2679000","2839919","2951861","3040465","3131856","3225731","3322555","3422286","3525154","3630818","3739801","3852056","3967842","4086775","4209764","4336588","4467415","4601813","4740448","4883259","5030578","5181918","5333776","5488071","5647051","5810180","5978256","6151194","6329384","6512224","6700608","6894443","7094163","7299095","7510243","7727498","7951351","8181045","8417705","8661212","8912112","9169561","9434817","9707746","9988963","10277518","10574409","10779376","10978360","11167392","11344312","11507960",
"Comoros","COM","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Population in largest city","EN.URB.LCTY","229792","240155","251001","262364","274348","286844","299928","313608","327933","342870","358509","374861","391984","409364","424290","439760","455817","472413","489638","507491","526020","545173","565050","585653","606945","627401","648576","670465","693125","716486","740667","765665","791543","818220","845835","874383","903935","934400","965936","998537","1032032","1047860","1063952","1080292","1096906","1113729","1130833","1148200","1165858","1183738","1201918","1220377","1239145","1258149","1277471","1297091","1317039","1337237","1357745","1378546","1399629","1420533","1441324","1461989",
"Caribbean small states","CSS","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Population in largest city","EN.URB.LCTY","1435511","1466641","1498491","1531032","1564326","1598250","1632957","1668419","1704701","1741668","1779491","1796743","1809358","1822027","1834803","1847668","1860641","1873669","1886807","1900036","1913377","1926775","1945101","1964799","1984723","2004794","2025096","2045604","2066348","2087244","2108381","2122518","2129481","2136447","2143446","2150468","2157522","2164580","2171672","2178786","2185933","2193084","2200269","2195440","2187870","2180347","2172840","2165359","2157893","2150473","2143068","2135689","2128326","2121008","2119455","2123697","2127953","2132206","2136468","2138419","2140423","2142866","2145691","2148930",
"Curacao","CUW","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Population in largest city","EN.URB.LCTY","1000830","1007834","1015213","1022647","1030146","1037678","1045276","1052930","1060651","1068406","1076230","1085284","1095284","1105348","1115519","1125783","1136156","1146595","1157146","1167793","1178553","1184211","1187275","1190346","1193430","1196513","1199608","1202712","1205828","1208943","1212070","1212664","1208077","1203520","1198974","1194445","1189927","1185438","1180960","1176499","1172049","1171354","1178105","1184894","1191732","1198591","1205499","1212446","1219444","1226462","1233530","1240639","1247799","1254980","1262213","1269488","1276814","1284162","1291552","1298804","1305737","1312199","1318085","1323339",
"Germany","DEU","Population in largest city","EN.URB.LCTY","3259833","3252346","3247311","3242284","3237257","3232253","3227249","3222253","3217257","3212283","3206311","3190964","3175669","3160490","3145362","3130306","3115302","3100411","3085570","3070801","3056082","3051544","3048489","3041327","3042744","3060484","3095453","3272990","3253960","3381095","3421662","3439841","3455876","3470553","3473705","3471395","3462965","3442267","3412301","3392756","3384417","3388441","3391094","3390456","3388152","3391496","3401226","3413367","3425567","3437892","3450395","3462944","3475555","3488177","3500863","3513595","3526391","3539234","3552123","3556792","3562038","3566791","3570750","3573938",
"Djibouti","DJI","Population in largest city","EN.URB.LCTY","39962","42203","44046","45969","47979","50071","52258","54539","56924","59406","62000","66547","71434","76665","82287","88321","94807","101750","109212","117220","125829","135043","144946","157801","174372","192631","212831","235150","259844","287053","317154","342078","348428","354878","361456","368157","374991","381932","389012","396224","403579","411049","418669","426430","434346","442386","450587","458939","467459","476112","484925","493901","503044","512356","521840","531499","541338","551358","561564","568804","576157","583695","591469","599504",
"Dominica","DMA","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Population in largest city","EN.URB.LCTY","1284407","1299934","1317844","1336000","1354433","1373068","1377990","1378498","1379006","1379513","1380022","1349325","1302468","1257362","1213758","1171666","1144804","1132454","1120221","1108120","1096133","1086397","1078841","1071338","1063876","1056487","1050252","1045180","1040126","1036500","1035290","1035100","1036008","1038026","1042122","1048351","1055625","1062331","1067321","1072211","1077131","1082059","1090481","1102529","1114726","1127024","1139475","1152295","1165516","1178851","1192357","1206959","1222732","1238601","1254630","1270867","1287337","1303974","1320826","1333888","1346485","1358608","1370131","1381005",
"Dominican Republic","DOM","Population in largest city","EN.URB.LCTY","367328","391425","416786","443790","472585","503160","535761","570473","607487","646791","686692","726698","769094","813837","861250","911425","964599","1020716","1080181","1143111","1209802","1280183","1325737","1348861","1372422","1396328","1420684","1445465","1470713","1496331","1522431","1548987","1576043","1603496","1649733","1703050","1758167","1814910","1873565","1934116","1996712","2061153","2127767","2185851","2240880","2297137","2354888","2414090","2474865","2536996","2600776","2666160","2733281","2801900","2872340","2944551","3018681","3094465","3172152","3245021","3317784","3388809","3457626","3523890",
"Algeria","DZA","Population in largest city","EN.URB.LCTY","871636","913806","953095","994074","1036876","1081394","1125264","1162355","1200723","1240246","1281127","1323356","1367038","1412036","1458580","1506658","1556390","1591631","1601502","1611434","1621442","1631484","1641602","1651783","1662042","1672335","1682707","1699125","1731209","1763809","1797068","1830955","1865529","1900658","1936498","1973014","2010271","2048125","2086577","2113386","2140577","2168042","2195898","2224112","2252728","2281632","2310947","2340639","2370754","2401172","2432023","2463271","2494920","2526977","2559445","2592330","2625638","2659373","2693542","2729325","2767661","2809158","2853959","2901810",
"East Asia & Pacific (excluding high income)","EAP","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Population in largest city","EN.URB.LCTY","456225","482874","511121","536214","559197","583097","608054","634080","661257","689520","719032","749808","781946","815367","850475","890351","932156","975800","1021552","1069450","1119663","1172087","1227042","1272757","1311745","1351815","1393166","1435783","1479765","1524967","1571615","1617439","1663103","1709925","1758132","1807698","1858733","1911062","1964940","2020337","2077375","2135860","2181496","2218121","2255412","2293226","2331727","2370874","2410734","2451152","2492304","2537659","2586432","2636005","2686599","2738164","2790791","2844281","2898796","2946158","2994218","3042941","3092355","3142466",
