Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
1852,2,-1.019,1.588,-0.852,0.822,NaN,NaN,NaN,NaN,NaN,NaN
1852,3,-0.15,2.883,-0.803,0.74,-0.648,0.314,NaN,NaN,NaN,NaN
1852,4,-0.282,1.432,-0.856,0.743,-0.635,0.314,NaN,NaN,NaN,NaN
1852,5,0.04,1.202,-0.779,0.623,-0.645,0.315,NaN,NaN,NaN,NaN
1852,6,0.053,1.182,-0.583,0.416,-0.635,0.33,NaN,NaN,NaN,NaN
1852,7,0.077,0.867,-0.545,0.392,-0.611,0.333,NaN,NaN,NaN,NaN
1852,8,-1.385,1.103,-0.549,0.401,-0.619,0.315,NaN,NaN,NaN,NaN
1852,9,-1.325,1.182,-0.68,0.452,-0.609,0.295,NaN,NaN,NaN,NaN
1852,10,-1.752,2.642,-0.595,0.412,-0.59,0.298,NaN,NaN,NaN,NaN
1852,11,-0.485,1.834,-0.644,0.394,-0.575,0.308,NaN,NaN,NaN,NaN
1852,12,0.476,1.31,-0.677,0.436,-0.558,0.284,NaN,NaN,NaN,NaN
1853,1,-0.785,1.055,-0.651,0.444,-0.562,0.274,NaN,NaN,NaN,NaN
1853,2,-1.065,1.872,-0.545,0.415,-0.564,0.266,NaN,NaN,NaN,NaN
1853,3,-1.733,1.537,-0.453,0.403,-0.571,0.264,NaN,NaN,NaN,NaN
1853,4,0.741,2.615,-0.403,0.424,-0.559,0.251,NaN,NaN,NaN,NaN
1853,5,-0.549,1.226,-0.376,0.465,-0.549,0.244,NaN,NaN,NaN,NaN
1853,6,-0.333,1.096,-0.549,0.376,-0.553,0.236,-0.579,0.249,NaN,NaN
1853,7,0.386,1.118,-0.647,0.437,-0.566,0.25,-0.583,0.248,NaN,NaN
1853,8,-0.111,0.882,-0.623,0.43,-0.576,0.264,-0.591,0.249,NaN,NaN
1853,9,-0.227,1.205,-0.589,0.396,-0.576,0.267,-0.607,0.258,NaN,NaN
1853,10,-1.154,1.339,-0.601,0.385,-0.582,0.277,-0.617,0.265,NaN,NaN
1853,11,-0.16,2.943,-0.568,0.384,-0.58,0.27,-0.622,0.27,NaN,NaN
1853,12,-1.599,2.199,-0.542,0.437,-0.572,0.264,-0.63,0.279,NaN,NaN
1854,1,-1.958,1.896,-0.544,0.419,-0.584,0.267,-0.64,0.284,NaN,NaN
1854,2,-0.781,1.243,-0.579,0.383,-0.577,0.259,-0.648,0.285,NaN,NaN
1854,3,-1.325,1.685,-0.593,0.387,-0.568,0.251,-0.646,0.274,NaN,NaN
1854,4,0.598,2.09,-0.48,0.398,-0.574,0.249,-0.626,0.27,NaN,NaN
1854,5,-0.151,0.839,-0.533,0.425,-0.557,0.246,-0.618,0.275,NaN,NaN
1854,6,-0.019,1.75,-0.491,0.444,-0.544,0.262,-0.616,0.279,NaN,NaN
1854,7,0.359,0.96,-0.353,0.498,-0.536,0.272,-0.624,0.283,NaN,NaN
1854,8,-0.529,1.158,-0.334,0.507,-0.528,0.265,-0.629,0.289,NaN,NaN
1854,9,-0.399,1.199,-0.215,0.49,-0.535,0.266,-0.626,0.287,NaN,NaN
1854,10,0.211,1.375,-0.24,0.5,-0.556,0.27,-0.625,0.285,NaN,NaN
1854,11,-0.799,1.734,-0.248,0.521,-0.57,0.27,-0.624,0.282,NaN,NaN
1854,12,-1.096,2.249,-0.2,0.513,-0.57,0.265,-0.616,0.287,NaN,NaN
1855,1,-0.308,1.628,-0.235,0.489,-0.549,0.253,-0.602,0.273,NaN,NaN
1855,2,-0.548,1.483,-0.21,0.504,-0.533,0.254,-0.605,0.265,NaN,NaN
1855,3,0.101,1.661,-0.286,0.475,-0.522,0.253,-0.606,0.249,NaN,NaN
1855,4,0.294,1.364,-0.359,0.438,-0.489,0.254,-0.599,0.241,NaN,NaN
1855,5,-0.242,1.292,-0.358,0.453,-0.459,0.252,-0.593,0.24,NaN,NaN
1855,6,0.558,2.33,-0.356,0.542,-0.456,0.25,-0.582,0.229,NaN,NaN
1855,7,-0.065,1.355,-0.423,0.624,-0.451,0.249,-0.575,0.221,NaN,NaN
1855,8,-0.225,1.27,-0.475,0.636,-0.439,0.252,-0.562,0.212,NaN,NaN
1855,9,-1.311,1.059,-0.575,0.63,-0.418,0.266,-0.546,0.203,NaN,NaN
1855,10,-0.664,1.333,-0.559,0.659,-0.45,0.269,-0.526,0.197,NaN,NaN
1855,11,-0.79,0.922,-0.554,0.693,-0.439,0.282,-0.516,0.196,NaN,NaN
1855,12,-1.068,2.128,-0.628,0.552,-0.446,0.289,-0.511,0.201,-0.549,0.225
1856,1,-1.112,2.732,-0.669,0.543,-0.46,0.29,-0.508,0.206,-0.553,0.224
